Name,Description,Category,Address,Latitude,Longitude,Opening_hours,Rating,Facilities
Lampang River Lodge,"Lanna-style riverside resort with gardens, pool and event spaces.",Resort,"330 Moo 11, Tambol Chompoo, Muang Lampang, Lampang 52100, Thailand",18.227607,99.426295,24-hour front desk (check-in from 14:00),8,"Pool, restaurant, parking, spa, meeting rooms, airport shuttle"
The Coconut Hotel,Comfortable mid-range hotel near Lampang Airport with garden and terrace.,Hotel,"124/9 Prabath Rd Soi 3, Phrabat, Mueang Lampang, Lampang 52000, Thailand",18.29,99.481,24-hour front desk (check-in from 14:00),8,"Free parking, free WiFi, restaurant, terrace, bicycle rental"
The Space Hotel Lampang,4-star hotel in central Lampang with fitness centre and free parking.,Hotel,"274/1 Chatchai Road, Mueang Lampang, Lampang 52100, Thailand",18.2889,99.4909,24-hour front desk (check-in from 14:00),8.4,"Fitness center, free parking, restaurant, airport shuttle, free WiFi"
HOP INN Lampang City Center,"Budget-friendly, clean rooms in the city center.",Hotel (Budget),"101/22 Chansurin Road, Mueang Lampang, Lampang, Thailand",18.2889,99.4909,24-hour front desk (check-in from 14:00),8.8,"Free WiFi, parking, 24-hour front desk, elevator"
Le Neuf Nakorn Lampang,Boutique hotel near Lampang attractions.,Hotel,Central Lampang (city center),18.2889,99.4909,24-hour reception,8,"Free WiFi, parking, family rooms"
Kanyanat Boutique Hotel,Boutique property with terrace and free parking.,Boutique Hotel,"Near Wat Phra Kaeo Don Tao Suchadaram, Lampang",18.2889,99.4909,24-hour front desk,8,"Free WiFi, parking, terrace"
Regent Lodge Lampang,Comfortable mid-range lodge popular for breakfasts.,Lodge/Hotel,Central Lampang area,18.2889,99.4909,24-hour reception,7.8,"Free WiFi, parking, restaurant"
Karpenter Hotel Lampang,Stylish boutique hotel with cozy rooms.,Boutique Hotel,"102/1 Na Khuam Road, Chomphu/Chompoo area, Lampang",18.3,99.48,24-hour front desk,8,"Free WiFi, parking, breakfast"
ABIZZ Hotel Lampang Airport,Airport hotel convenient for early flights.,Airport Hotel,"Near Lampang Airport, Lampang",18.292,99.48,24-hour reception,7.5,"Airport shuttle, free WiFi, parking"
Lampang Residence,Apartment-style accommodation in Lampang.,Apartment/Hotel,Central Lampang,18.2889,99.4909,24-hour reception,7.5,"Kitchenettes, free WiFi, parking"
Hug Lampang Boutique Hotel,Small boutique hotel near city center.,Boutique Hotel,Central Lampang,18.2889,99.4909,24-hour reception,8,"Free WiFi, parking, breakfast"
Wienglakor Hotel,Comfortable hotel in Lampang with friendly service.,Hotel,Central Lampang,18.2889,99.4909,24-hour reception,7.5,"Free WiFi, parking, restaurant"
Memmoth Hostel In Lampang,Hostel option for budget travelers.,Hostel,Near Lampang city center,18.2889,99.4909,Check-in from 14:00; 24-hour access for guests,8,"Shared kitchen, free WiFi, lockers"
Villa Ratsada Nakorn Lampang,Resort-style villa accommodation with garden.,Resort/Villa,Lampang (suburban area),18.25,99.45,24-hour reception,8.2,"Garden, free parking, breakfast"
Baan Suchadaa Lampang Resort,Quiet resort with traditional Thai style.,Resort,Lampang province,18.25,99.45,24-hour reception,7.8,"Garden, restaurant, parking"
Prasertsri Place,Budget guesthouse in Lampang.,Guesthouse,Central Lampang,18.2889,99.4909,Reception hours vary (usually daytime),6.5,"Free WiFi, parking"
The Riverside Guest House,Guesthouse by the river with simple rooms.,Guesthouse,"Riverside area, Lampang",18.23,99.43,Reception hours vary,7,"Breakfast, river views"
Le Cottage Lampang,Cozy cottage-style accommodation.,Cottage/Guesthouse,Central Lampang,18.2889,99.4909,24-hour reception,7.6,"Free WiFi, parking, breakfast"
Khelang Nakhon Hotel,Local hotel in Lampang with traditional touches.,Hotel,Central Lampang,18.2889,99.4909,24-hour front desk,7.4,"Restaurant, parking, free WiFi"
